82	55
55	82
82	41
41	82
20	77
77	20
43	83
83	43
25	37
37	25
41	64
64	41
5	24
24	5
60	48
48	60
8	69
69	8
6	24
24	6
64	74
74	64
74	8
8	74
8	59
59	8
88	71
71	88
20	9
9	20
5	16
16	5
60	5
5	60
57	85
85	57
19	43
43	19
32	82
82	32
49	77
77	49
27	70
70	27
37	55
55	37
12	57
57	12
4	74
74	4
24	66
66	24
11	66
66	11
36	53
53	36
45	12
12	45
28	21
21	28
32	46
46	32
20	19
19	20
38	80
80	38
69	75
75	69
2	12
12	2
3	48
48	3
9	49
49	9
36	81
81	36
51	62
62	51
40	43
43	40
82	68
68	82
44	25
25	44
3	24
24	3
25	54
54	25
69	52
52	69
2	51
51	2
1	68
68	1
26	41
41	26
52	8
8	52
80	79
79	80
24	80
80	24
25	5
5	25
31	71
71	31
52	1
1	52
36	87
87	36
34	29
29	34
5	73
73	5
42	45
45	42
5	12
12	5
47	51
51	47
6	7
7	6
7	68
68	7
21	59
59	21
19	61
61	19
13	47
47	13
24	51
51	24
24	65
65	24
26	66
66	26
69	46
46	69
27	52
52	27
12	87
87	12
11	5
5	11
28	86
86	28
73	12
12	73
67	72
72	67
27	55
55	27
27	76
76	27
69	42
42	69
33	52
52	33
37	79
79	37
2	23
23	2
42	39
39	42
88	13
13	88
61	4
4	61
34	76
76	34
9	32
32	9
31	80
80	31
33	80
80	33
23	28
28	23
1	37
37	1
50	62
62	50
49	59
59	49
1	32
32	1
1	15
15	1
12	49
49	12
27	81
81	27
34	65
65	34
21	66
66	21
74	5
5	74
28	67
67	28
9	55
55	9
22	82
82	22
32	60
60	32
71	58
58	71
6	60
60	6
35	62
62	35
56	9
9	56
34	86
86	34
33	81
81	33
56	12
12	56
1	64
64	1
51	45
45	51
28	54
54	28
65	33
33	65
25	18
18	25
20	33
33	20
53	83
83	53
26	79
79	26
11	42
42	11
16	21
21	16
42	44
44	42
85	86
86	85
21	75
75	21
24	87
87	24
34	73
73	34
31	78
78	31
54	55
55	54
3	47
47	3
31	36
36	31
14	40
40	14
61	62
62	61
39	9
9	39
41	67
67	41
3	74
74	3
35	79
79	35
77	27
27	77
29	86
86	29
37	45
45	37
32	64
64	32
16	27
27	16
31	55
55	31
1	40
40	1
49	88
88	49
63	44
44	63
29	50
50	29
54	8
8	54
58	59
59	58
82	1
1	82
29	31
31	29
52	81
81	52
24	82
82	24
63	51
51	63
12	40
40	12
64	12
12	64
36	44
44	36
46	81
81	46
28	79
79	28
62	26
26	62
44	7
7	44
76	88
88	76
80	54
54	80
85	47
47	85
33	53
53	33
1	54
54	1
25	79
79	25
87	52
52	87
88	67
67	88
24	25
25	24
4	68
68	4
20	46
46	20
69	80
80	69
1	56
56	1
50	45
45	50
30	85
85	30
28	52
52	28
41	55
55	41
8	18
18	8
52	78
78	52
24	69
69	24
10	22
22	10
8	30
30	8
40	85
85	40
14	32
32	14
26	50
50	26
2	22
22	2
83	84
84	83
52	65
65	52
50	76
76	50
