2520	5166	0.01
5166	2520	0.01
366	2783	1.0
2783	366	1.0
5082	4619	1.0
4619	5082	1.0
78	5212	1.0
5212	78	1.0
817	5304	1.0
5304	817	1.0
1756	94	0.01
94	1756	0.01
5069	524	0.01
524	5069	0.01
5061	3275	1.0
3275	5061	1.0
415	834	0.01
834	415	0.01
2783	2760	1.0
2760	2783	1.0
40	3497	0.01
3497	40	0.01
2759	3844	1.0
3844	2759	1.0
789	3487	1.0
3487	789	1.0
2756	4283	1.0
4283	2756	1.0
3269	3127	0.01
3127	3269	0.01
1720	5190	1.0
5190	1720	1.0
2206	817	0.01
817	2206	0.01
2760	3451	0.01
3451	2760	0.01
1623	4619	0.01
4619	1623	0.01
1853	341	0.01
341	1853	0.01
817	4624	0.01
4624	817	0.01
3487	2870	0.01
2870	3487	0.01
3077	5265	1.0
5265	3077	1.0
78	1097	1.0
1097	78	1.0
741	3275	1.0
3275	741	1.0
4481	3846	1.0
3846	4481	1.0
934	5190	0.01
5190	934	0.01
3875	2783	0.01
2783	3875	0.01
5265	3269	0.01
3269	5265	0.01
366	2605	1.0
2605	366	1.0
2759	2945	1.0
2945	2759	1.0
434	341	0.01
341	434	0.01
4189	5212	1.0
5212	4189	1.0
248	5069	0.01
5069	248	0.01
3670	524	0.01
524	3670	0.01
2784	471	1.0
471	2784	1.0
2054	4586	1.0
4586	2054	1.0
4619	2038	0.01
2038	4619	0.01
415	2783	1.0
2783	415	1.0
337	3043	0.01
3043	337	0.01
1195	5091	0.01
5091	1195	0.01
2759	5346	1.0
5346	2759	1.0
40	2719	1.0
2719	40	1.0
347	2024	0.01
2024	347	0.01
5079	1915	1.0
1915	5079	1.0
2719	1927	1.0
1927	2719	1.0
1889	3127	0.01
3127	1889	0.01
5323	4897	0.01
4897	5323	0.01
415	1846	1.0
1846	415	1.0
4728	1406	1.0
1406	4728	1.0
1530	2719	1.0
2719	1530	1.0
4897	3171	0.01
3171	4897	0.01
2054	1102	1.0
1102	2054	1.0
94	1019	1.0
1019	94	1.0
5069	1465	1.0
1465	5069	1.0
4635	1149	0.01
1149	4635	0.01
4189	5166	1.0
5166	4189	1.0
1097	4280	1.0
4280	1097	1.0
1837	2719	0.01
2719	1837	0.01
3077	3127	0.01
3127	3077	0.01
1853	1102	0.01
1102	1853	0.01
4007	3889	1.0
3889	4007	1.0
4975	4494	0.01
4494	4975	0.01
2719	4784	1.0
4784	2719	1.0
2054	2589	1.0
2589	2054	1.0
4246	28	0.01
28	4246	0.01
5079	1855	0.01
1855	5079	0.01
28	4868	1.0
4868	28	1.0
415	2023	1.0
2023	415	1.0
2756	3127	1.0
3127	2756	1.0
5069	817	1.0
817	5069	1.0
5346	3889	0.01
3889	5346	0.01
3105	1800	1.0
1800	3105	1.0
2082	524	0.01
524	2082	0.01
3670	789	0.01
789	3670	0.01
1236	94	0.01
94	1236	0.01
1358	1618	0.01
1618	1358	0.01
4320	3537	1.0
3537	4320	1.0
741	1800	1.0
1800	741	1.0
2391	5061	1.0
5061	2391	1.0
1530	1251	1.0
1251	1530	1.0
3451	5304	0.01
5304	3451	0.01
493	1097	0.01
1097	493	0.01
1424	5190	1.0
5190	1424	1.0
741	4693	1.0
4693	741	1.0
471	3897	1.0
3897	471	1.0
4897	3709	0.01
3709	4897	0.01
3916	1756	0.01
1756	3916	0.01
1149	1465	1.0
1465	1149	1.0
3088	3670	0.01
3670	3088	0.01
1764	3275	0.01
3275	1764	0.01
1195	2260	0.01
2260	1195	0.01
2759	4276	1.0
4276	2759	1.0
4784	925	1.0
925	4784	1.0
40	1576	0.01
1576	40	0.01
3755	5082	0.01
5082	3755	0.01
1764	1097	0.01
1097	1764	0.01
4481	1927	0.01
1927	4481	0.01
3043	1764	0.01
1764	3043	0.01
5082	817	1.0
817	5082	1.0
3622	4389	0.01
4389	3622	0.01
3456	4251	0.01
4251	3456	0.01
3088	4657	1.0
4657	3088	1.0
4693	1705	0.01
1705	4693	0.01
2726	1021	1.0
1021	2726	1.0
2870	3537	0.01
3537	2870	0.01
2726	1837	1.0
1837	2726	1.0
2726	1855	1.0
1855	2726	1.0
5082	4586	1.0
4586	5082	1.0
434	789	1.0
789	434	1.0
4007	4672	1.0
4672	4007	1.0
1102	2319	1.0
2319	1102	1.0
1465	3486	0.01
3486	1465	0.01
3077	1605	1.0
1605	3077	1.0
3088	2554	0.01
2554	3088	0.01
3755	3496	1.0
3496	3755	1.0
1618	4975	0.01
4975	1618	0.01
1254	2823	0.01
2823	1254	0.01
3570	3585	0.01
3585	3570	0.01
3709	1705	0.01
1705	3709	0.01
1720	4483	1.0
4483	1720	1.0
1450	3622	0.01
3622	1450	0.01
4275	126	0.01
126	4275	0.01
28	4784	1.0
4784	28	1.0
471	2562	1.0
2562	471	1.0
3320	4586	0.01
4586	3320	0.01
3127	5166	1.0
5166	3127	1.0
4276	3088	0.01
3088	4276	0.01
741	4586	1.0
4586	741	1.0
817	834	1.0
834	817	1.0
2391	1254	0.01
1254	2391	0.01
4007	3127	1.0
3127	4007	1.0
1889	3275	0.01
3275	1889	0.01
2760	1837	0.01
1837	2760	0.01
5082	813	1.0
813	5082	1.0
1097	347	1.0
347	1097	1.0
1119	285	0.01
285	1119	0.01
1313	1605	0.01
1605	1313	0.01
4389	1889	1.0
1889	4389	1.0
4728	3846	1.0
3846	4728	1.0
1898	2520	0.01
2520	1898	0.01
3127	4172	1.0
4172	3127	1.0
2783	2589	1.0
2589	2783	1.0
1251	3891	0.01
3891	1251	0.01
4350	5212	0.01
5212	4350	0.01
471	1936	0.01
1936	471	0.01
817	1251	1.0
1251	817	1.0
1855	4897	0.01
4897	1855	0.01
741	4624	0.01
4624	741	0.01
2082	2562	1.0
2562	2082	1.0
4246	1021	0.01
1021	4246	0.01
4630	2023	0.01
2023	4630	0.01
2023	3105	0.01
3105	2023	0.01
1936	3320	0.01
3320	1936	0.01
4350	1195	0.01
1195	4350	0.01
1720	1251	1.0
1251	1720	1.0
4280	126	0.01
126	4280	0.01
4523	5250	0.01
5250	4523	0.01
3846	4619	0.01
4619	3846	0.01
817	2933	1.0
2933	817	1.0
366	1149	1.0
1149	366	1.0
2726	415	1.0
415	2726	1.0
1102	925	1.0
925	1102	1.0
78	347	1.0
347	78	1.0
5341	434	0.01
434	5341	0.01
40	1021	1.0
1021	40	1.0
789	285	0.01
285	789	0.01
366	3916	1.0
3916	366	1.0
1889	2038	0.01
2038	1889	0.01
1102	4276	1.0
4276	1102	1.0
1463	2589	1.0
2589	1463	1.0
2756	934	1.0
934	2756	1.0
3043	1195	0.01
1195	3043	0.01
3755	4619	0.01
4619	3755	0.01
3127	3487	1.0
3487	3127	1.0
78	1195	1.0
1195	78	1.0
2719	347	1.0
347	2719	1.0
1846	3916	0.01
3916	1846	0.01
5061	4635	1.0
4635	5061	1.0
1463	2391	0.01
2391	1463	0.01
813	1254	0.01
1254	813	0.01
2719	3622	1.0
3622	2719	1.0
5079	1705	0.01
1705	5079	0.01
1720	4586	1.0
4586	1720	1.0
3897	817	0.01
817	3897	0.01
3320	40	0.01
40	3320	0.01
5061	741	1.0
741	5061	1.0
2719	5304	1.0
5304	2719	1.0
1800	1628	1.0
1628	1800	1.0
5061	2726	1.0
2726	5061	1.0
1102	3089	0.01
3089	1102	0.01
4523	3891	0.01
3891	4523	0.01
2726	2823	1.0
2823	2726	1.0
2759	1019	1.0
1019	2759	1.0
1463	3127	1.0
3127	1463	1.0
3486	5166	1.0
5166	3486	1.0
3088	2024	0.01
2024	3088	0.01
3451	3275	0.01
3275	3451	0.01
1097	2823	1.0
2823	1097	1.0
1506	4172	0.01
4172	1506	0.01
1450	2610	1.0
2610	1450	1.0
3846	3496	1.0
3496	3846	1.0
366	1236	1.0
1236	366	1.0
1530	4742	1.0
4742	1530	1.0
741	4523	1.0
4523	741	1.0
524	5079	0.01
5079	524	0.01
2783	1855	1.0
1855	2783	1.0
28	1019	1.0
1019	28	1.0
465	1837	0.01
1837	465	0.01
1465	925	1.0
925	1465	1.0
1605	4672	0.01
4672	1605	0.01
337	2260	0.01
2260	337	0.01
5069	4523	0.01
4523	5069	0.01
2756	560	0.01
560	2756	0.01
4007	4251	1.0
4251	4007	1.0
1927	2023	0.01
2023	1927	0.01
4189	880	1.0
880	4189	1.0
4784	471	1.0
471	4784	1.0
3844	2038	0.01
2038	3844	0.01
4189	2870	0.01
2870	4189	0.01
4975	3585	0.01
3585	4975	0.01
5061	1846	1.0
1846	5061	1.0
1021	4172	0.01
4172	1021	0.01
1846	4586	0.01
4586	1846	0.01
789	1450	1.0
1450	789	1.0
2038	3043	0.01
3043	2038	0.01
1119	126	0.01
126	1119	0.01
880	1846	0.01
1846	880	0.01
2756	3105	0.01
3105	2756	0.01
813	1837	1.0
1837	813	1.0
2759	3496	0.01
3496	2759	0.01
4189	3972	1.0
3972	4189	1.0
1915	1800	0.01
1800	1915	0.01
2562	3931	0.01
3931	2562	0.01
4657	2319	0.01
2319	4657	0.01
4635	2589	0.01
2589	4635	0.01
1465	2024	1.0
2024	1465	1.0
248	4246	1.0
4246	248	1.0
4657	880	0.01
880	4657	0.01
40	4494	1.0
4494	40	1.0
4275	2554	0.01
2554	4275	0.01
3275	337	0.01
337	3275	0.01
2054	4252	1.0
4252	2054	1.0
4742	4494	1.0
4494	4742	1.0
4007	2206	1.0
2206	4007	1.0
2772	1386	0.01
1386	2772	0.01
1964	3043	0.01
3043	1964	0.01
2759	4693	1.0
4693	2759	1.0
4728	5294	1.0
5294	4728	1.0
3486	1358	1.0
1358	3486	1.0
471	1019	1.0
1019	471	1.0
2216	817	0.01
817	2216	0.01
817	4672	1.0
4672	817	1.0
4320	3275	1.0
3275	4320	1.0
4635	3570	0.01
3570	4635	0.01
4728	5212	1.0
5212	4728	1.0
1119	1642	0.01
1642	1119	0.01
78	1450	1.0
1450	78	1.0
40	1254	1.0
1254	40	1.0
5082	4654	1.0
4654	5082	1.0
4251	1846	0.01
1846	4251	0.01
741	2023	1.0
2023	741	1.0
5294	1898	0.01
1898	5294	0.01
1720	789	1.0
789	1720	1.0
880	2562	0.01
2562	880	0.01
1149	3844	1.0
3844	1149	1.0
3709	1149	1.0
1149	3709	1.0
126	524	0.01
524	126	0.01
94	3497	1.0
3497	94	1.0
2160	4619	0.01
4619	2160	0.01
40	78	1.0
78	40	1.0
3709	1846	0.01
1846	3709	0.01
3622	4523	0.01
4523	3622	0.01
4975	4630	0.01
4630	4975	0.01
126	3162	0.01
3162	126	0.01
1800	1898	1.0
1898	1800	1.0
3709	4654	0.01
4654	3709	0.01
5190	4494	0.01
4494	5190	0.01
2992	4252	1.0
4252	2992	1.0
1406	4624	0.01
4624	1406	0.01
248	4630	1.0
4630	248	1.0
4283	4635	0.01
4635	4283	0.01
5082	4742	0.01
4742	5082	0.01
2719	4275	1.0
4275	2719	1.0
2391	5212	1.0
5212	2391	1.0
2992	1720	1.0
1720	2992	1.0
5079	2823	1.0
2823	5079	1.0
4483	5294	0.01
5294	4483	0.01
3846	3456	1.0
3456	3846	1.0
4320	5304	1.0
5304	4320	1.0
4007	817	1.0
817	4007	1.0
4784	3622	0.01
3622	4784	0.01
5061	2024	1.0
2024	5061	1.0
2783	1506	0.01
1506	2783	0.01
285	1618	0.01
1618	285	0.01
2719	471	1.0
471	2719	1.0
1102	471	1.0
471	1102	1.0
817	4897	0.01
4897	817	0.01
5079	5212	1.0
5212	5079	1.0
3854	4246	0.01
4246	3854	0.01
40	1463	1.0
1463	40	1.0
4657	1021	0.01
1021	4657	0.01
2759	1898	1.0
1898	2759	1.0
3622	1623	0.01
1623	3622	0.01
5091	4728	0.01
4728	5091	0.01
741	607	1.0
607	741	1.0
28	4251	0.01
4251	28	0.01
3275	1964	0.01
1964	3275	0.01
4621	5304	0.01
5304	4621	0.01
5079	4523	1.0
4523	5079	1.0
1764	1450	1.0
1450	1764	1.0
1764	4007	1.0
4007	1764	1.0
1450	2319	0.01
2319	1450	0.01
2391	1145	0.01
1145	2391	0.01
2216	3077	1.0
3077	2216	1.0
741	5166	1.0
5166	741	1.0
3043	2759	0.01
2759	3043	0.01
4742	4896	0.01
4896	4742	0.01
2992	4896	0.01
4896	2992	0.01
78	1764	1.0
1764	78	1.0
817	3844	1.0
3844	817	1.0
40	2759	1.0
2759	40	1.0
2783	3275	1.0
3275	2783	1.0
366	4246	1.0
4246	366	1.0
3077	471	1.0
471	3077	1.0
4320	3615	1.0
3615	4320	1.0
2719	1642	1.0
1642	2719	1.0
2024	126	0.01
126	2024	0.01
4189	4742	0.01
4742	4189	0.01
434	5212	0.01
5212	434	0.01
524	4672	0.01
4672	524	0.01
1097	934	0.01
934	1097	0.01
2783	4693	0.01
4693	2783	0.01
3615	3972	0.01
3972	3615	0.01
4320	1936	1.0
1936	4320	1.0
4320	3487	1.0
3487	4320	1.0
2783	4276	1.0
4276	2783	1.0
3846	3972	1.0
3972	3846	1.0
248	471	1.0
471	248	1.0
1506	1855	0.01
1855	1506	0.01
2772	4619	1.0
4619	2772	1.0
741	5250	1.0
5250	741	1.0
5323	3127	0.01
3127	5323	0.01
3709	1855	1.0
1855	3709	1.0
4784	4621	1.0
4621	4784	1.0
40	4280	1.0
4280	40	1.0
434	4276	1.0
4276	434	1.0
2783	1605	1.0
1605	2783	1.0
4654	1623	0.01
1623	4654	0.01
5082	3487	1.0
3487	5082	1.0
347	1964	0.01
1964	347	0.01
3933	4896	0.01
4896	3933	0.01
1628	4283	0.01
4283	1628	0.01
337	1465	0.01
1465	337	0.01
1102	5346	1.0
5346	1102	1.0
5346	5190	0.01
5190	5346	0.01
1149	2760	0.01
2760	1149	0.01
285	1021	0.01
1021	285	0.01
4189	4630	1.0
4630	4189	1.0
3497	5212	0.01
5212	3497	0.01
40	3456	1.0
3456	40	1.0
1720	934	0.01
934	1720	0.01
1102	514	1.0
514	1102	1.0
789	1254	1.0
1254	789	1.0
2719	4246	1.0
4246	2719	1.0
1102	465	1.0
465	1102	1.0
1642	2823	0.01
2823	1642	0.01
3755	1800	1.0
1800	3755	1.0
3077	1463	1.0
1463	3077	1.0
2054	471	1.0
471	2054	1.0
1764	3709	0.01
3709	1764	0.01
789	5166	1.0
5166	789	1.0
415	4523	1.0
4523	415	1.0
3670	2260	0.01
2260	3670	0.01
3755	1251	0.01
1251	3755	0.01
1800	2206	1.0
2206	1800	1.0
3456	2206	1.0
2206	3456	1.0
1102	3916	0.01
3916	1102	0.01
4728	4320	1.0
4320	4728	1.0
1800	3670	0.01
3670	1800	0.01
3854	3889	0.01
3889	3854	0.01
5341	2760	0.01
2760	5341	0.01
3162	4784	0.01
4784	3162	0.01
1019	4975	0.01
4975	1019	0.01
1463	925	1.0
925	1463	1.0
741	1358	1.0
1358	741	1.0
2	3077	1.0
3077	2	1.0
1837	4654	0.01
4654	1837	0.01
4320	471	1.0
471	4320	1.0
1145	1705	0.01
1705	1145	0.01
4728	2319	1.0
2319	4728	1.0
741	1463	1.0
1463	741	1.0
2783	514	1.0
514	2783	1.0
1424	1573	0.01
1573	1424	0.01
3456	1756	0.01
1756	3456	0.01
1953	415	0.01
415	1953	0.01
4389	2933	1.0
2933	4389	1.0
3755	1358	1.0
1358	3755	1.0
2719	3537	1.0
3537	2719	1.0
2756	5294	1.0
5294	2756	1.0
4654	3171	0.01
3171	4654	0.01
4481	2	0.01
2	4481	0.01
2260	524	0.01
524	2260	0.01
813	248	0.01
248	813	0.01
1628	1853	0.01
1853	1628	0.01
1102	347	1.0
347	1102	1.0
2216	4494	0.01
4494	2216	0.01
5341	3320	0.01
3320	5341	0.01
4784	5294	1.0
5294	4784	1.0
4868	3456	0.01
3456	4868	0.01
1764	4389	0.01
4389	1764	0.01
4189	4635	0.01
4635	4189	0.01
5250	3897	0.01
3897	5250	0.01
5079	3456	1.0
3456	5079	1.0
1463	3622	1.0
3622	1463	1.0
2719	2605	1.0
2605	2719	1.0
609	5079	0.01
5079	609	0.01
1764	471	1.0
471	1764	1.0
817	4635	1.0
4635	817	1.0
415	2562	1.0
2562	415	1.0
471	4523	0.01
4523	471	0.01
3889	925	0.01
925	3889	0.01
2992	4007	0.01
4007	2992	0.01
40	5166	1.0
5166	40	1.0
5061	4728	0.01
4728	5061	0.01
3755	1236	1.0
1236	3755	1.0
1021	341	0.01
341	1021	0.01
4189	126	0.01
126	4189	0.01
2766	3537	1.0
3537	2766	1.0
3709	3497	1.0
3497	3709	1.0
1465	2589	0.01
2589	1465	0.01
366	1618	1.0
1618	366	1.0
1386	248	0.01
248	1386	0.01
4635	3755	0.01
3755	4635	0.01
4742	1764	1.0
1764	4742	1.0
5069	1313	0.01
1313	5069	0.01
1530	538	1.0
538	1530	1.0
1573	415	0.01
415	1573	0.01
1530	4350	0.01
4350	1530	0.01
1463	2945	1.0
2945	1463	1.0
2589	5323	0.01
5323	2589	0.01
1463	2024	1.0
2024	1463	1.0
366	1898	0.01
1898	366	0.01
5069	78	1.0
78	5069	1.0
1720	2933	1.0
2933	1720	1.0
1530	5250	0.01
5250	1530	0.01
1605	2589	0.01
2589	1605	0.01
2992	5069	1.0
5069	2992	1.0
741	2783	1.0
2783	741	1.0
1936	3269	0.01
3269	1936	0.01
1102	538	1.0
538	1102	1.0
2992	3897	0.01
3897	2992	0.01
2783	2823	1.0
2823	2783	1.0
3854	1889	0.01
1889	3854	0.01
3127	1313	0.01
1313	3127	0.01
2759	5294	1.0
5294	2759	1.0
28	3497	1.0
3497	28	1.0
28	3933	1.0
3933	28	1.0
1927	1386	0.01
1386	1927	0.01
2726	1195	1.0
1195	2726	1.0
1386	2760	0.01
2760	1386	0.01
2759	2589	1.0
2589	2759	1.0
3077	1936	1.0
1936	3077	1.0
94	4320	0.01
4320	94	0.01
3127	4630	1.0
4630	3127	1.0
1837	493	0.01
493	1837	0.01
1800	1576	1.0
1576	1800	1.0
4189	4251	1.0
4251	4189	1.0
741	1019	1.0
1019	741	1.0
5069	789	0.01
