1021	5212	1.0
5212	1021	1.0
28	4868	1.0
4868	28	1.0
1102	5079	1.0
5079	1102	1.0
5265	248	1.0
248	5265	1.0
925	3497	1.0
3497	925	1.0
1642	789	1.0
789	1642	1.0
3755	2756	1.0
2756	3755	1.0
471	4868	1.0
4868	471	1.0
1527	4672	1.0
4672	1527	1.0
3496	347	1.0
347	3496	1.0
2726	4742	1.0
4742	2726	1.0
1846	5079	1.0
5079	1846	1.0
1102	4007	1.0
4007	1102	1.0
4246	1097	1.0
1097	4246	1.0
789	4494	1.0
4494	789	1.0
4251	3670	1.0
3670	4251	1.0
1465	2756	1.0
2756	1465	1.0
5061	1019	1.0
1019	5061	1.0
4189	2823	1.0
2823	4189	1.0
4320	2719	1.0
2719	4320	1.0
1019	4523	1.0
4523	1019	1.0
925	1019	1.0
1019	925	1.0
2783	4320	1.0
4320	2783	1.0
2719	2783	1.0
2783	2719	1.0
925	1506	1.0
1506	925	1.0
4246	538	1.0
538	4246	1.0
2024	538	1.0
538	2024	1.0
5079	4007	1.0
4007	5079	1.0
2933	1019	1.0
1019	2933	1.0
2823	5082	1.0
5082	2823	1.0
538	2206	1.0
2206	538	1.0
1358	4251	1.0
4251	1358	1.0
3844	4586	1.0
4586	3844	1.0
1527	4586	1.0
4586	1527	1.0
4586	1846	1.0
1846	4586	1.0
2719	2024	1.0
2024	2719	1.0
1236	1149	1.0
1149	1236	1.0
817	2206	1.0
2206	817	1.0
3320	40	1.0
40	3320	1.0
1527	3127	1.0
3127	1527	1.0
5061	248	1.0
248	5061	1.0
817	538	1.0
538	817	1.0
2054	2823	1.0
2823	2054	1.0
5294	1855	1.0
1855	5294	1.0
4672	1019	1.0
1019	4672	1.0
1506	3972	1.0
3972	1506	1.0
1953	4481	1.0
4481	1953	1.0
514	2610	1.0
2610	514	1.0
4630	28	1.0
28	4630	1.0
1846	1021	1.0
1021	1846	1.0
4896	1628	1.0
1628	4896	1.0
817	3537	1.0
3537	817	1.0
1019	3077	1.0
3077	1019	1.0
3320	3077	1.0
3077	3320	1.0
1953	1605	1.0
1605	1953	1.0
2024	2726	1.0
2726	2024	1.0
1019	347	1.0
347	1019	1.0
3496	40	1.0
40	3496	1.0
925	3537	1.0
3537	925	1.0
5304	1628	1.0
1628	5304	1.0
1102	1846	1.0
1846	1102	1.0
3670	4586	1.0
4586	3670	1.0
2783	4742	1.0
4742	2783	1.0
2783	2726	1.0
2726	2783	1.0
1019	2610	1.0
2610	1019	1.0
741	415	1.0
415	741	1.0
1800	4635	1.0
4635	1800	1.0
3487	3486	1.0
3486	3487	1.0
4654	4672	1.0
4672	4654	1.0
925	817	1.0
817	925	1.0
4252	1097	1.0
1097	4252	1.0
347	40	1.0
40	347	1.0
1837	2719	1.0
2719	1837	1.0
2024	817	1.0
817	2024	1.0
2783	5323	1.0
5323	2783	1.0
538	4742	1.0
4742	538	1.0
4252	3889	1.0
3889	4252	1.0
1450	2759	1.0
2759	1450	1.0
2719	1846	1.0
1846	2719	1.0
2719	4742	1.0
4742	2719	1.0
925	2719	1.0
2719	925	1.0
3127	4586	1.0
4586	3127	1.0
4868	4630	1.0
4630	4868	1.0
1019	40	1.0
40	1019	1.0
1019	813	1.0
813	1019	1.0
2726	538	1.0
538	2726	1.0
4350	4007	1.0
4007	4350	1.0
538	925	1.0
925	538	1.0
817	1837	1.0
1837	817	1.0
4007	1019	1.0
1019	4007	1.0
538	1019	1.0
1019	538	1.0
925	2024	1.0
2024	925	1.0
4350	1102	1.0
1102	4350	1.0
538	1837	1.0
1837	538	1.0
2	5082	1.0
5082	2	1.0
514	5061	1.0
5061	514	1.0
2726	3537	1.0
3537	2726	1.0
78	3127	1.0
3127	78	1.0
2024	1019	1.0
1019	2024	1.0
5265	3486	1.0
3486	5265	1.0
2783	538	1.0
538	2783	1.0
3622	1953	1.0
1953	3622	1.0
78	3844	1.0
3844	78	1.0
3496	3320	1.0
3320	3496	1.0
1358	4672	1.0
4672	1358	1.0
1764	4868	1.0
4868	1764	1.0
1527	3844	1.0
3844	1527	1.0
2726	1837	1.0
1837	2726	1.0
1021	5079	1.0
5079	1021	1.0
4007	2719	1.0
2719	4007	1.0
78	4251	1.0
4251	78	1.0
1019	2823	1.0
2823	1019	1.0
4619	2562	1.0
2562	4619	1.0
3670	3844	1.0
3844	3670	1.0
2024	3537	1.0
3537	2024	1.0
1021	1102	1.0
1102	1021	1.0
1936	3077	1.0
3077	1936	1.0
40	3077	1.0
3077	40	1.0
4481	1605	1.0
1605	4481	1.0
2719	2726	1.0
2726	2719	1.0
2719	1019	1.0
1019	2719	1.0
5250	3570	1.0
3570	5250	1.0
78	3670	1.0
3670	78	1.0
609	1019	1.0
1019	609	1.0
3854	4276	1.0
4276	3854	1.0
4586	248	1.0
248	4586	1.0
78	1527	1.0
1527	78	1.0
2726	2206	1.0
2206	2726	1.0
1527	1358	1.0
1358	1527	1.0
4630	1764	1.0
1764	4630	1.0
347	415	1.0
415	347	1.0
4007	5212	1.0
5212	4007	1.0
4275	4280	1.0
4280	4275	1.0
2726	817	1.0
817	2726	1.0
1406	4624	1.0
4624	1406	1.0
2726	925	1.0
925	2726	1.0
1846	5212	1.0
5212	1846	1.0
1846	4007	1.0
4007	1846	1.0
248	1527	1.0
1527	248	1.0
817	4189	1.0
4189	817	1.0
5265	3487	1.0
3487	5265	1.0
2726	4320	1.0
4320	2726	1.0
4586	1102	1.0
1102	4586	1.0
4586	2216	1.0
2216	4586	1.0
3496	741	1.0
741	3496	1.0
4189	2	1.0
2	4189	1.0
741	347	1.0
347	741	1.0
2719	538	1.0
538	2719	1.0
3537	538	1.0
538	3537	1.0
