1234	4701
4701	1234
892	5190
5190	892
1389	3144
3144	1389
3077	5265
5265	3077
2798	2045
2045	2798
4469	1078
1078	4469
5061	3275
3275	5061
1682	1816
1816	1682
4149	5235
5235	4149
3463	1511
1511	3463
1389	4304
4304	1389
4320	2536
2536	4320
4325	2582
2582	4325
3854	5323
5323	3854
804	4458
4458	804
4858	2316
2316	4858
3814	911
911	3814
1855	440
440	1855
1955	155
155	1955
4701	1855
1855	4701
3486	789
789	3486
741	3275
3275	741
4240	1078
1078	4240
880	4672
4672	880
2447	1251
1251	2447
3874	1120
1120	3874
1078	204
204	1078
5007	2316
2316	5007
1948	3275
3275	1948
4742	2619
2619	4742
1824	2619
2619	1824
4240	1948
1948	4240
1389	4248
4248	1389
3854	358
358	3854
2719	4276
4276	2719
2371	4904
4904	2371
4627	3616
3616	4627
3756	4276
4276	3756
3423	5333
5333	3423
347	2206
2206	347
3179	1002
1002	3179
2798	3693
3693	2798
2798	1783
1783	2798
1314	2503
2503	1314
514	1953
1953	514
3543	2113
2113	3543
2388	4325
4325	2388
78	155
155	78
4742	514
514	4742
1800	1898
1898	1800
347	78
78	347
2689	2834
2834	2689
2371	2689
2689	2371
3693	5340
5340	3693
3346	1953
1953	3346
4164	1093
1093	4164
888	1009
1009	888
2689	982
982	2689
741	1533
1533	741
1948	4904
4904	1948
5029	880
880	5029
1900	1642
1642	1900
4149	545
545	4149
3077	2937
2937	3077
2834	1078
1078	2834
651	1314
1314	651
4795	4494
4494	4795
91	4350
4350	91
78	926
926	78
518	5191
5191	518
3271	3761
3761	3271
5333	754
754	5333
4325	2045
2045	4325
1948	3863
3863	1948
3061	2857
2857	3061
4161	4320
4320	4161
4533	1938
1938	4533
4481	440
440	4481
4276	1311
1311	4276
726	3599
3599	726
2572	3883
3883	2572
741	1800
1800	741
2798	1576
1576	2798
892	2467
2467	892
1533	3316
3316	1533
3447	1120
1120	3447
5190	1910
1910	5190
208	1939
1939	208
2045	5235
5235	2045
518	2977
2977	518
4494	3864
3864	4494
514	1837
1837	514
2798	651
651	2798
4542	4887
4887	4542
492	1511
1511	492
911	1875
1875	911
4634	3599
3599	4634
3814	78
78	3814
5166	5115
5115	5166
1875	2619
2619	1875
4533	1251
1251	4533
880	5235
5235	880
1389	1533
1533	1389
2054	1460
1460	2054
2503	872
872	2503
2783	746
746	2783
911	2719
2719	911
4255	973
973	4255
3179	2619
2619	3179
2945	1314
1314	2945
5034	3543
3543	5034
3616	4225
4225	3616
3583	1764
1764	3583
2689	4481
4481	2689
358	2946
2946	358
3077	1605
1605	3077
872	113
113	872
2467	3447
3447	2467
5190	3777
3777	5190
3184	5235
5235	3184
817	2937
2937	817
2388	4500
4500	2388
4701	2619
2619	4701
1386	3599
3599	1386
3854	3303
3303	3854
872	746
746	872
4164	726
726	4164
208	3441
3441	208
3423	1642
1642	3423
2536	859
859	2536
2447	1093
1093	2447
1228	1935
1935	1228
4119	5034
5034	4119
2371	2484
2484	2371
4481	1257
1257	4481
2424	3486
3486	2424
5190	2536
2536	5190
4928	1824
1824	4928
5190	2481
2481	5190
2582	3616
3616	2582
2054	1605
1605	2054
2798	4928
4928	2798
5190	2045
2045	5190
4164	2004
2004	4164
5097	2719
2719	5097
2424	2035
2035	2424
3486	5007
5007	3486
5235	2946
2946	5235
514	1251
1251	514
817	1251
1251	817
78	2206
2206	78
2945	1816
1816	2945
492	3993
3993	492
2857	1855
1855	2857
880	2384
2384	880
2508	1875
1875	2508
2054	2037
2037	2054
1584	2384
2384	1584
2508	3854
3854	2508
2481	4565
4565	2481
4742	3864
3864	4742
3442	4240
4240	3442
3077	3854
3854	3077
2467	3303
3303	2467
440	746
746	440
2384	4304
4304	2384
3777	1251
1251	3777
2508	2536
2536	2508
789	2619
2619	789
762	2977
2977	762
1576	1879
1879	1576
672	2540
2540	672
804	5265
5265	804
347	4609
4609	347
1386	4248
4248	1386
1847	4225
4225	1847
941	3853
3853	941
78	4304
4304	78
2424	1576
1576	2424
1682	804
804	1682
2484	982
982	2484
2503	4672
4672	2503
4041	2213
2213	4041
5190	2206
2206	5190
3486	1234
1234	3486
5061	741
741	5061
1384	2035
2035	1384
754	1314
1314	754
545	1955
1955	545
892	2283
2283	892
4481	4255
4255	4481
2738	3979
3979	2738
2213	2139
2139	2213
1786	4119
4119	1786
741	789
789	741
3486	5166
5166	3486
3844	2481
2481	3844
2977	3423
3423	2977
1386	789
789	1386
5115	5208
5208	5115
4742	1910
1910	4742
888	1093
1093	888
2857	492
492	2857
2536	1576
1576	2536
872	1824
1824	872
3835	3864
3864	3835
2798	3829
3829	2798
4494	4904
4904	4494
1074	3829
3829	1074
4442	3447
3447	4442
514	5191
5191	514
5190	3442
3442	5190
5356	1962
1962	5356
859	1009
1009	859
4161	2540
2540	4161
5034	4246
4246	5034
347	1800
1800	347
831	941
941	831
892	3853
3853	892
1938	4276
4276	1938
1386	1783
1783	1386
1879	970
970	1879
1816	1642
1642	1816
746	2724
2724	746
3814	2582
2582	3814
1837	2045
2045	1837
892	5323
5323	892
973	155
155	973
859	4795
4795	859
1764	4533
4533	1764
3630	4255
4255	3630
1824	2946
2946	1824
3888	4928
4928	3888
2078	514
514	2078
347	1955
1955	347
4276	4281
4281	4276
3447	746
746	3447
1389	926
926	1389
2783	2937
2937	2783
1783	1962
1962	1783
2388	1764
1764	2388
804	3844
3844	804
2689	1910
1910	2689
3616	926
926	3616
3888	1900
1900	3888
2054	5097
5097	2054
5208	2937
2937	5208
726	3077
3077	726
4325	2481
2481	4325
880	492
492	880
2251	5352
5352	2251
2783	2078
2078	2783
3864	1384
1384	3864
1875	941
941	1875
2388	203
203	2388
5186	1093
1093	5186
4240	5340
5340	4240
5034	3756
3756	5034
2447	440
440	2447
4542	5166
5166	4542
5034	5356
5356	5034
3835	3543
3543	3835
4609	1935
1935	4609
2206	1251
1251	2206
208	2556
2556	208
2388	5061
5061	2388
2937	956
956	2937
1386	1879
1879	1386
741	5265
5265	741
2572	4565
4565	2572
3630	1002
1002	3630
4320	4533
4533	4320
1764	2467
2467	1764
208	3829
3829	208
514	2206
2206	514
1764	4481
4481	1764
2371	5166
5166	2371
3416	746
746	3416
1605	3279
3279	1605
3777	3442
3442	3777
880	204
204	880
91	3599
3599	91
2316	2609
2609	2316
3844	5190
5190	3844
1460	1962
1962	1460
4481	2536
2536	4481
3061	2977
2977	3061
2054	4246
4246	2054
3486	5323
5323	3486
669	5352
5352	669
4542	3275
3275	4542
4795	926
926	4795
78	3447
3447	78
3864	2503
2503	3864
804	5333
5333	804
4425	2798
2798	4425
5265	4928
4928	5265
2484	2536
2536	2484
741	3854
3854	741
78	2834
2834	78
2798	2503
2503	2798
3883	2467
2467	3883
1267	1311
1311	1267
1955	3271
3271	1955
1170	5208
5208	1170
3346	2834
2834	3346
741	2283
2283	741
3179	3275
3275	3179
859	5356
5356	859
4481	5235
5235	4481
2004	3184
3184	2004
1415	2582
2582	1415
3346	982
982	3346
1962	2139
2139	1962
3184	514
514	3184
831	859
859	831
5097	1533
1533	5097
926	2834
2834	926
2724	926
926	2724
1460	3275
3275	1460
545	2798
2798	545
741	5166
5166	741
3077	1257
1257	3077
3864	1311
1311	3864
2536	5265
5265	2536
2798	5235
5235	2798
208	4928
4928	208
1389	2206
2206	1389
956	941
941	956
3077	1837
1837	3077
817	3844
3844	817
3883	4276
4276	3883
3461	746
746	3461
149	4469
4469	149
5097	4276
4276	5097
754	358
358	754
1847	4320
4320	1847
1800	3105
3105	1800
4701	5007
5007	4701
2689	4276
4276	2689
2798	1078
1078	2798
4325	1251
1251	4325
3077	2536
2536	3077
804	2719
2719	804
3616	1682
1682	3616
762	1855
1855	762
4481	4168
4168	4481
5034	2440
2440	5034
2371	880
880	2371
2783	4276
4276	2783
3543	5265
5265	3543
831	5166
5166	831
3442	2447
2447	3442
888	1955
1955	888
492	2937
2937	492
204	911
911	204
5235	3827
3827	5235
500	4149
4149	500
2440	4932
4932	2440
3883	1078
1078	3883
3077	3543
3543	3077
1962	1816
1816	1962
2783	1605
1605	2783
3881	941
941	3881
2371	746
746	2371
4701	1386
1386	4701
5190	2388
2388	5190
1816	3844
3844	1816
3993	1786
1786	3993
347	4255
4255	347
3888	4276
4276	3888
3844	1837
1837	3844
1800	3447
3447	1800
3447	4928
4928	3447
831	4542
4542	831
3881	1898
1898	3881
1576	1962
1962	1576
1938	4304
4304	1938
1847	1837
1837	1847
3543	4350
4350	3543
91	4494
4494	91
3777	5265
5265	3777
2719	982
982	2719
3827	2213
2213	3827
1875	3979
3979	1875
4542	4838
4838	4542
3881	3229
3229	3881
4149	4350
4350	4149
2689	3486
3486	2689
208	3229
3229	208
4240	3979
3979	4240
4795	5166
5166	4795
4225	2719
2719	4225
1786	1257
1257	1786
2689	3077
3077	2689
1824	2045
2045	1824
4500	1386
1386	4500
4533	1875
1875	4533
3279	5265
5265	3279
3883	4838
4838	3883
1511	3888
3888	1511
1386	4645
4645	1386
1962	1257
1257	1962
669	3583
3583	669
1948	880
880	1948
2783	514
514	2783
2556	5064
5064	2556
2536	2035
2035	2536
2388	3271
3271	2388
2738	1824
1824	2738
1053	4838
4838	1053
2371	2424
2424	2371
2388	2582
2582	2388
2213	2619
2619	2213
1837	5166
5166	1837
194	1847
1847	194
1824	726
726	1824
3864	5265
5265	3864
204	892
892	204
4325	1002
1002	4325
3979	5356
5356	3979
5061	2037
2037	5061
2424	2834
2834	2424
2139	2798
2798	2139
3144	1415
1415	3144
2133	2689
2689	2133
347	817
817	347
3864	4248
4248	3864
651	1093
1093	651
1824	746
746	1824
2371	2251
2251	2371
4672	672
672	4672
5029	4149
4149	5029
78	4281
4281	78
3316	4932
4932	3316
4742	1764
1764	4742
741	926
926	741
5190	4281
4281	5190
1584	3863
3863	1584
1786	4565
4565	1786
3346	1386
1386	3346
1460	4932
4932	1460
804	4225
4225	804
4609	2946
2946	4609
804	78
78	804
2783	2113
2113	2783
255	4469
4469	255
4701	746
746	4701
2719	2447
2447	2719
741	2783
2783	741
4928	1900
1900	4928
1389	4041
4041	1389
4425	2582
2582	4425
3844	4248
4248	3844
545	2536
2536	545
1384	3447
3447	1384
3693	880
880	3693
1078	3616
3616	1078
2783	4672
4672	2783
911	1816
1816	911
2424	4533
4533	2424
5340	4248
4248	5340
2689	4565
4565	2689
1875	2054
2054	1875
1800	1576
1576	1800
2945	1605
1605	2945
789	746
746	789
3693	4742
4742	3693
3441	982
982	3441
5097	3486
3486	5097
4320	1764
1764	4320
347	2556
2556	347
194	358
358	194
2937	4119
4119	2937
804	746
746	804
1953	4645
4645	1953
4168	4401
4401	4168
5190	1855
1855	5190
872	4255
4255	872
2251	4904
4904	2251
2037	2503
2503	2037
545	2484
2484	545
3761	4186
4186	3761
2689	1389
1389	2689
3853	3979
3979	3853
2371	1389
1389	2371
3616	880
880	3616
440	4645
4645	440
1837	4565
4565	1837
4320	1953
1953	4320
741	1824
1824	741
817	4350
4350	817
4742	1311
1311	4742
2972	4932
4932	2972
2424	1953
1953	2424
1074	892
892	1074
2724	5265
5265	2724
3543	4932
4932	3543
5186	3979
3979	5186
4149	1384
1384	4149
3447	2054
2054	3447
545	941
941	545
492	941
941	492
941	3423
3423	941
347	2424
2424	347
2503	746
746	2503
2977	4255
4255	2977
910	3979
3979	910
4442	113
113	4442
1764	2484
2484	1764
2698	2078
2078	2698
347	4304
4304	347
5061	4672
4672	5061
3184	2857
2857	3184
1764	2783
2783	1764
1837	1605
1605	1837
2054	2619
2619	2054
2689	3271
3271	2689
2440	3543
3543	2440
2447	5333
5333	2447
1170	2977
2977	1170
440	3761
3761	440
2724	4742
4742	2724
4275	500
500	4275
941	2467
2467	941
4742	5166
5166	4742
741	859
859	741
741	2206
2206	741
872	5029
5029	872
1384	1879
1879	1384
880	3853
3853	880
545	4568
4568	545
1800	4186
4186	1800
3881	1257
1257	3881
1824	888
888	1824
3275	2572
2572	3275
4565	2503
2503	4565
3184	3229
3229	3184
4701	5166
5166	4701
789	941
941	789
4500	204
204	4500
726	91
91	726
78	746
746	78
1824	2035
2035	1824
347	2783
2783	347
1764	789
789	1764
2798	4164
4164	2798
545	2834
2834	545
4248	2857
2857	4248
5186	1953
1953	5186
255	5166
5166	255
537	888
888	537
3061	1533
1533	3061
1786	4077
4077	1786
2035	3583
3583	2035
1584	4304
4304	1584
208	3761
3761	208
1228	1009
1009	1228
3077	2609
2609	3077
1764	4469
4469	1764
4041	2536
2536	4041
754	4041
4041	754
5007	2724
2724	5007
4627	2503
2503	4627
3844	5323
5323	3844
1053	5352
5352	1053
3279	2536
2536	3279
4742	1576
1576	4742
2467	4542
4542	2467
741	817
817	741
1898	2440
2440	1898
149	3271
3271	149
4442	3888
3888	4442
3275	2503
2503	3275
804	1314
1314	804
1386	440
440	1386
4458	4320
4320	4458
2609	3864
3864	2609
2045	2035
2035	2045
4320	4350
4350	4320
4119	500
500	4119
3853	1786
1786	3853
149	746
746	149
2447	1415
1415	2447
352	4481
4481	352
2738	4276
4276	2738
1824	926
926	1824
817	4255
4255	817
2689	5323
5323	2689
352	910
910	352
4320	1074
1074	4320
2945	1855
1855	2945
4458	204
204	4458
4701	1584
1584	4701
1384	194
194	1384
3844	5166
5166	3844
880	1898
1898	880
4246	2484
2484	4246
3854	4542
4542	3854
1386	926
926	1386
1955	352
352	1955
2798	1093
1093	2798
726	5007
5007	726
1074	1910
1910	1074
5029	3993
3993	5029
4161	926
926	4161
2798	204
204	2798
3874	2113
2113	3874
4533	5235
5235	4533
956	1257
1257	956
3583	1576
1576	3583
2738	3463
3463	2738
1938	113
113	1938
4255	3888
3888	4255
2481	2536
2536	2481
3271	1311
1311	3271
2206	4186
4186	2206
2139	746
746	2139
208	3888
3888	208
3316	2504
2504	3316
3630	941
941	3630
2447	3441
3441	2447
3423	926
926	3423
2946	3179
3179	2946
2977	1389
1389	2977
5190	4275
4275	5190
1824	4246
4246	1824
1386	651
651	1386
4742	4542
4542	4742
1955	482
482	1955
2447	2977
2977	2447
1855	2035
2035	1855
956	3883
3883	956
4481	762
762	4481
347	5166
5166	347
4565	1875
1875	4565
2536	4350
4350	2536
203	4701
4701	203
1939	3756
3756	1939
892	1800
1800	892
5097	4634
4634	5097
2798	3144
3144	2798
4928	5323
5323	4928
1764	2316
2316	1764
4164	1311
1311	4164
1257	672
672	1257
2798	4350
4350	2798
2206	4276
4276	2206
3346	4255
4255	3346
726	1053
1053	726
741	831
831	741
4742	2424
2424	4742
4325	3442
3442	4325
2783	4494
4494	2783
2738	2113
2113	2738
1389	5265
5265	1389
2619	741
741	2619
347	4168
4168	347
3543	1800
1800	3543
741	1837
1837	741
2719	5190
5190	2719
3756	2035
2035	3756
208	3423
3423	208
3543	545
545	3543
1938	4077
4077	1938
1009	4425
4425	1009
1847	1783
1783	1847
3486	1898
1898	3486
2719	4565
4565	2719
5190	3543
3543	5190
204	4225
4225	204
2556	3829
3829	2556
2738	1384
1384	2738
4494	1605
1605	4494
4248	3077
3077	4248
5166	440
440	5166
2045	4041
4041	2045
2251	5007
