S000003646	S000002661	2.53E-01
S000004088	S000003130	2.53E-01
S000004466	S000001001	2.53E-01
S000005258	S000001742	2.53E-01
S000001863	S000002871	2.53E-01
S000004166	S000000253	2.53E-01
S000003276	S000002450	2.52E-01
S000005111	S000002859	2.52E-01
S000004121	S000002831	2.52E-01
S000002530	S000000386	2.52E-01
S000002871	S000000287	2.52E-01
S000002667	S000000101	2.51E-01
S000002530	S000000444	2.51E-01YOR028C
S000005639	S000003276	2.51E-01
S000005639	S000003646	2.51E-01
S000003646	S000003625	2.49E-01
S000004640	S000002450	2.49E-01
S000000735	S000002871	2.49E-01
S000005143	S000004172	2.49E-01
S000001456	S000000444	2.49E-01
S000005143	S000000444	2.49E-01
S000004489	S000001393	2.48E-01
S000005959	S000000963	2.48E-01
S000003646	S000002530	2.48E-01
S000005959	S000003003	2.48E-01
S000001457	S000002829	2.47E-01
S000000287	S000000101	2.46E-01
S000002981	S000002530	2.46E-01
S000005639	S000001393	2.46E-01
S000004640	S000001249	2.46E-01
S000004172	S000002214	2.46E-01
S000004466	S000001457	2.46E-01
S000003130	S000000735	2.45E-01
S000006169	S000002885	2.45E-01
S000004172	S000003149	2.45E-01
S000005899	S000000253	2.44E-01
S000001526	S000003646	2.43E-01
S000003625	S000003130	2.43E-01
S000005639	S000005143	2.43E-01
S000004003	S000000842	2.43E-01
S000001393	S000000101	2.43E-01
S000002530	S000000253	2.43E-01
S000004121	S000002871	2.43E-01
S000004466	S000004121	2.43E-01
S000004443	S000003625	2.42E-01
S000003646	S000003003	2.42E-01
S000005047	S000001498	2.41E-01
S000005111	S000000101	2.41E-01
S000004166	S000000444	2.41E-01
S000005143	S000001545	2.40E-01
S000005143	S000001393	2.40E-01
S000003130	S000002871	2.40E-01
S000005012	S000002859	2.40E-01
S000006169	S000001001	2.39E-01
S000004088	S000002530	2.39E-01
S000006169	S000000444	2.39E-01
S000005639	S000001503	2.39E-01
S000005554	S000004088	2.39E-01
S000002530	S000000199	2.39E-01
S000002829	S000002667	2.38E-01
S000004088	S000003276	2.38E-01
S000003276	S000003003	2.38E-01
S000005143	S000002981	2.38E-01
S000001393	S000000386	2.38E-01YPL202C
S000005639	S000002871	2.38E-01
S000004172	S000004121	2.38E-01
S000004003	S000003646	2.38E-01
S000005554	S000002667	2.38E-01
S000004003	S000001742	2.37E-01
S000004088	S000001221	2.37E-01
S000002981	S000002450	2.37E-01
S000005639	S000000963	2.37E-01
S000006010	S000004121	2.36E-01
S000003003	S000002885	2.36E-01
S000003039	S000002871	2.36E-01
S000005959	S000001462	2.36E-01
S000005871	S000002871	2.36E-01
S000004515	S000003646	2.35E-01
S000002831	S000002829	2.35E-01
S000004121	S000003646	2.35E-01
S000005639	S000004172	2.35E-01
S000005468	S000002530	2.35E-01
S000001393	S000002667	2.34E-01
S000005143	S000001498	2.34E-01
S000006308	S000000444	2.33E-01
S000000971	S000002624	2.33E-01
S000006010	S000003039	2.33E-01
S000006010	S000002871	2.33E-01
S000001526	S000001393	2.32E-01
S000005899	S000005143	2.32E-01
S000004466	S000003130	2.32E-01
S000006010	S000004172	2.32E-01
S000004246	S000000444	2.32E-01
S000001462	S000002530	2.32E-01
S000005899	S000003646	2.32E-01
S000005959	S000002553	2.32E-01
S000002871	S000000101	2.31E-01
S000001498	S000002829	2.31E-01
S000001592	S000000117	2.31E-01
S000006010	S000004515	2.31E-01
S000006308	S000000253	2.31E-01
S000006010	S000003041	2.30E-01
S000005047	S000004088	2.30E-01
S000005688	S000003625	2.30E-01
S000006308	S000005083	2.30E-01
S000005959	S000002530	2.30E-01
S000006169	S000005885	2.30E-01
S000004645	S000002829	2.29E-01
S000003646	S000002859	2.29E-01
S000003592	S000002530	2.29E-01
S000005111	S000002871	2.29E-01
S000006269	S000004088	2.29E-01
