S000000218	GRX7	YBR014C
S000000219	MNN2	YBR015C
S000000220		YBR016W
S000000221	KAP104	YBR017C
S000000222	GAL7	YBR018C
S000000223	GAL10	YBR019C
S000000224	GAL1	YBR020W
S000000225	FUR4	YBR021W
S000000226	POA1	YBR022W
S000000227	CHS3	YBR023C
S000000228	SCO2	YBR024W
S000000229	OLA1	YBR025C
S000000230	ETR1	YBR026C
S000000231		YBR027C
S000000232	YPK3	YBR028C
S000000233	CDS1	YBR029C
S000000234	RKM3	YBR030W
S000000235	RPL4A	YBR031W
S000000236		YBR032W
S000000237	EDS1	YBR033W
S000000238	HMT1	YBR034C
S000000239	PDX3	YBR035C
S000000240	CSG2	YBR036C
S000000241	SCO1	YBR037C
S000000242	CHS2	YBR038W
S000000243	ATP3	YBR039W
S000000244	FIG1	YBR040W
S000000245	FAT1	YBR041W
S000000246	CST26	YBR042C
S000000247	QDR3	YBR043C
S000000248	TCM62	YBR044C
S000000249	GIP1	YBR045C
S000000250	ZTA1	YBR046C
S000000251	FMP23	YBR047W
S000000252	RPS11B	YBR048W
S000000253	REB1	YBR049C
S000000254	REG2	YBR050C
S000000255		YBR051W
S000000256	RFS1	YBR052C
S000000257		YBR053C
S000000258	YRO2	YBR054W
S000000259	PRP6	YBR055C
S000000260		YBR056W
S000000261	MUM2	YBR057C
S000000262	UBP14	YBR058C
S000000263	AKL1	YBR059C
S000000264	ORC2	YBR060C
S000000265	TRM7	YBR061C
S000000266		YBR062C
S000000267		YBR063C
S000000268		YBR064W
S000000269	ECM2	YBR065C
S000000270	NRG2	YBR066C
S000000271	TIP1	YBR067C
S000000272	BAP2	YBR068C
S000000273	TAT1	YBR069C
S000000274	ALG14	YBR070C
S000000275		YBR071W
S000000276	HSP26	YBR072W
S000000277	RDH54	YBR073W
S000000278	PFF1	YBR074W
S000000279		YBR075W
S000000280	ECM8	YBR076W
S000000281	SLM4	YBR077C
S000000282	ECM33	YBR078W
S000000283	RPG1	YBR079C
S000000284	SEC18	YBR080C
