e1	e2	min
P05412	P15407	-0.0
P05412	P15407	-0.0
P05412	P27986	-0.0
P05412	P27986	-0.0
P05412	P38936	-0.0
P05412	P38936	-0.0
P05412	P12931	-0.0
P05412	P12931	-0.0
P05412	P01100	-0.0
P05412	P01100	-0.0
P05412	P08047	-0.0
P05412	P08047	-0.0
P05412	Q01094	-0.0
P05412	Q01094	-0.0
P05412	Q9H2M1	-0.0
P05412	Q9H2M1	-0.0
P05412	Q9H2M1	-0.0
P05412	Q9H2M1	-0.0
P05412	O15350	-0.0
P05412	O15350	-0.0
P05412	P55317	-0.0
P05412	P55317	-0.0
P05412	P15056	-0.0
P05412	P15056	-0.0
P05412	P42336	-0.0
P05412	P42336	-0.0
P05412	Q5JSB6	-0.0
P05412	Q5JSB6	-0.0
Q92728	P28482	-0.0
Q92728	P15407	-0.0
Q92728	P27986	-0.0
Q92728	P38936	-0.0
Q92728	P12931	-0.0
Q92728	P01100	-0.0
Q92728	P08047	-0.0
Q92728	Q01094	-0.0
Q92728	Q9H2M1	-0.0
Q92728	Q9H2M1	-0.0
Q92728	O15350	-0.0
Q92728	P55317	-0.0
Q92728	P15056	-0.0
Q92728	P42336	-0.0
Q92728	Q5JSB6	-0.0
P28482	P15407	-0.0
P28482	P27986	-0.0
P28482	P38936	-0.0
P28482	P12931	-0.0
P28482	P01100	-0.0
P28482	P08047	-0.0
P28482	Q01094	-0.0
P28482	Q9H2M1	-0.0
P28482	Q9H2M1	-0.0
P28482	O15350	-0.0
P28482	P55317	-0.0
P28482	P15056	-0.0
P28482	P42336	-0.0
P28482	Q5JSB6	-0.0
P15407	P27986	-0.0
P15407	P38936	-0.0
P15407	P12931	-0.0
P15407	P01100	-0.0
P15407	P08047	-0.0
P15407	Q01094	-0.0
P15407	Q9H2M1	-0.0
P15407	Q9H2M1	-0.0
P15407	O15350	-0.0
P15407	P55317	-0.0
P15407	P15056	-0.0
P15407	P42336	-0.0
P15407	Q5JSB6	-0.0
P27986	P38936	-0.0
P27986	P12931	-0.0
P27986	P01100	-0.0
P27986	P08047	-0.0
P27986	Q01094	-0.0
P27986	Q9H2M1	-0.0
P27986	Q9H2M1	-0.0
P27986	O15350	-0.0
P27986	P55317	-0.0
P27986	P15056	-0.0
P27986	P42336	-0.0
P27986	Q5JSB6	-0.0
P38936	P12931	-0.0
P38936	P01100	-0.0
P38936	P08047	-0.0
P38936	Q01094	-0.0
P38936	Q9H2M1	-0.0
P38936	Q9H2M1	-0.0
P38936	O15350	-0.0
P38936	P55317	-0.0
P38936	P15056	-0.0
P38936	P42336	-0.0
P38936	Q5JSB6	-0.0
P12931	P01100	-0.0
P12931	P08047	-0.0
P12931	Q01094	-0.0
P12931	Q9H2M1	-0.0
P12931	Q9H2M1	-0.0
P12931	O15350	-0.0
P12931	P55317	-0.0
P12931	P15056	-0.0
P12931	P42336	-0.0
P12931	Q5JSB6	-0.0
P01100	P08047	-0.0
P01100	Q01094	-0.0
P01100	Q9H2M1	-0.0
P01100	Q9H2M1	-0.0
P01100	O15350	-0.0
P01100	P55317	-0.0
P01100	P15056	-0.0
P01100	P42336	-0.0
P01100	Q5JSB6	-0.0
P08047	Q01094	-0.0
P08047	Q9H2M1	-0.0
P08047	Q9H2M1	-0.0
P08047	O15350	-0.0
P08047	P55317	-0.0
P08047	P15056	-0.0
P08047	P42336	-0.0
P08047	Q5JSB6	-0.0
Q01094	Q9H2M1	-0.0
Q01094	Q9H2M1	-0.0
Q01094	O15350	-0.0
Q01094	P55317	-0.0
Q01094	P15056	-0.0
Q01094	P42336	-0.0
Q01094	Q5JSB6	-0.0
Q9H2M1	O15350	-0.0
Q9H2M1	O15350	-0.0
Q9H2M1	P55317	-0.0
Q9H2M1	P55317	-0.0
Q9H2M1	P15056	-0.0
Q9H2M1	P15056	-0.0
Q9H2M1	P42336	-0.0
Q9H2M1	P42336	-0.0
Q9H2M1	Q5JSB6	-0.0
Q9H2M1	Q5JSB6	-0.0
O15350	P55317	-0.0
O15350	P15056	-0.0
O15350	P42336	-0.0
O15350	Q5JSB6	-0.0
P55317	P15056	-0.0
P55317	P42336	-0.0
P55317	Q5JSB6	-0.0
P15056	P42336	-0.0
P15056	Q5JSB6	-0.0
P42336	Q5JSB6	-0.0
