4549	2461	0.01
2461	4549	0.01
3570	3615	1.0
3615	3570	1.0
3479	2432	0.01
2432	3479	0.01
77	4940	0.01
4940	77	0.01
3881	1769	1.0
1769	3881	1.0
2807	1800	0.01
1800	2807	0.01
2358	2582	0.01
2582	2358	0.01
4795	49	0.01
49	4795	0.01
3861	501	0.01
501	3861	0.01
1665	3497	1.0
3497	1665	1.0
1928	4549	0.01
4549	1928	0.01
3570	4522	0.01
4522	3570	0.01
4522	1928	0.01
1928	4522	0.01
941	77	1.0
77	941	1.0
4288	616	0.01
616	4288	0.01
4962	1585	0.01
1585	4962	0.01
440	3570	0.01
3570	440	0.01
1769	4457	1.0
4457	1769	1.0
126	545	0.01
545	126	0.01
366	15	1.0
15	366	1.0
1769	3301	1.0
3301	1769	1.0
1769	5278	1.0
5278	1769	1.0
3497	3570	1.0
3570	3497	1.0
3861	5265	0.01
5265	3861	0.01
2582	4549	1.0
4549	2582	1.0
2250	3301	1.0
3301	2250	1.0
2807	1769	1.0
1769	2807	1.0
366	4962	0.01
4962	366	0.01
3301	941	0.01
941	3301	0.01
1572	2807	1.0
2807	1572	1.0
892	2310	0.01
2310	892	0.01
4457	2582	0.01
2582	4457	0.01
49	15	1.0
15	49	1.0
366	941	1.0
941	366	1.0
3570	5278	0.01
5278	3570	0.01
3507	4288	0.01
4288	3507	0.01
4418	4457	1.0
4457	4418	1.0
3507	1769	1.0
1769	3507	1.0
892	4795	1.0
4795	892	1.0
4225	2045	0.01
2045	4225	0.01
5	4940	0.01
4940	5	0.01
4276	15	0.01
15	4276	0.01
501	3104	0.01
3104	501	0.01
4868	91	1.0
91	4868	1.0
4549	941	1.0
941	4549	1.0
4868	2358	1.0
2358	4868	1.0
5	4868	1.0
4868	5	1.0
1769	2358	1.0
2358	1769	1.0
1935	43	0.01
43	1935	0.01
1487	2432	0.01
2432	1487	0.01
2582	501	1.0
501	2582	1.0
77	1769	1.0
1769	77	1.0
892	43	0.01
43	892	0.01
892	941	1.0
941	892	1.0
77	91	0.01
91	77	0.01
3497	4868	1.0
4868	3497	1.0
5	15	1.0
15	5	1.0
2807	1487	1.0
1487	2807	1.0
1585	545	0.01
