S000006219	S000006339
S000006221	S000006259
S000006222	S000006339
S000006222	S000007222
S000006223	S000006324
S000006227	S000006274
S000006227	S000006367
S000006227	S000006375
S000006227	S000006383
S000006227	S000007222
S000006228	S000006329
S000006228	S000006389
S000006228	S000006402
S000006228	S000007224
S000006228	S000007243
S000006229	S000006258
S000006232	S000006267
S000006233	S000006395
S000006236	S000006259
S000006236	S000006387
S000006236	S000007232
S000006240	S000006357
S000006245	S000007228
S000006245	S000028512
S000006246	S000006367
S000006249	S000006377
S000006250	S000006339
S000006250	S000006345
S000006251	S000006333
S000006251	S000007348
S000006253	S000007222
S000006256	S000006276
S000006256	S000006305
S000006256	S000006314
S000006256	S000006337
S000006261	S000006356
S000006261	S000007247
S000006265	S000006395
S000006269	S000006324
S000006270	S000006314
S000006272	S000006273
S000006272	S000006314
S000006274	S000006337
S000006274	S000006434
S000006275	S000006318
S000006282	S000007246
S000006283	S000006435
S000006289	S000006355
S000006289	S000006365
S000006289	S000006372
S000006289	S000006380
S000006289	S000028534
S000006289	S000028579
S000006289	S000028691
S000006289	S000028848
S000006293	S000028508
S000006299	S000028423
S000006305	S000006393
S000006305	S000007235
S000006305	S000007251
S000006307	S000007235
S000006310	S000006356
S000006314	S000006439
S000006323	S000006339
S000006323	S000006368
S000006323	S000007436
S000006324	S000006339
S000006326	S000007232
S000006337	S000006368
S000006337	S000007243
S000006338	S000007247
S000006338	S000028510
S000006339	S000006345
S000006339	S000006365
S000006344	S000006433
S000006344	S000007255
S000006345	S000006434
S000006345	S000007235
S000006356	S000007251
S000006368	S000028510
S000006371	S000006434
S000006377	S000007235
S000006382	S000007221
S000006382	S000007253
S000006389	S000007243
S000006395	S000006432
S000006395	S000007232
S000006395	S000007247
S000006395	S000007255
S000006433	S000007243
S000006433	S000007348
S000006434	S000007235
S000006654	S000006655
S000006654	S000006656
S000006655	S000006656
S000007222	S000007232
S000007224	S000007247
S000007224	S000028510
S000007235	S000007253
S000007235	S000028510
